,event_uuid,teammate,actor,keeper,location_x,location_y,teammate_category,actor_category,keeper_category,goal,marker_size
6815,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,False,False,False,95.25114749490662,43.11360248583345,opponent,non-actor,player,No,10
6816,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,False,False,False,98.21791179922914,28.00216044923384,opponent,non-actor,player,No,10
6817,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,True,False,False,101.8214811312125,38.90579392913076,teammate,non-actor,player,No,10
6818,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,False,False,False,106.77798346371873,36.50824429389463,opponent,non-actor,player,No,10
6819,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,False,False,False,107.24479131976261,41.11692588733027,opponent,non-actor,player,No,10
6820,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,True,True,False,107.5,43.599998474121094,teammate,actor,player,No,30
6821,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,False,False,False,108.70446264431388,43.64629961098213,opponent,non-actor,player,No,10
6822,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,False,False,True,115.86291803029962,41.22064642353021,opponent,non-actor,keeper,No,10
6843,adfec41f-46d2-464b-bcc0-34536c08fa70,True,False,False,106.11336727139422,40.28123289659117,teammate,non-actor,player,No,10
6844,adfec41f-46d2-464b-bcc0-34536c08fa70,False,False,False,111.88888319525148,41.354569070577035,opponent,non-actor,player,No,10
6845,adfec41f-46d2-464b-bcc0-34536c08fa70,False,False,False,114.098471079968,36.512342901359915,opponent,non-actor,player,No,10
6846,adfec41f-46d2-464b-bcc0-34536c08fa70,True,True,False,114.80000305175781,36.29999923706055,teammate,actor,player,No,30
6847,adfec41f-46d2-464b-bcc0-34536c08fa70,False,False,False,115.41802681935178,36.82022127688037,opponent,non-actor,player,No,10
6848,adfec41f-46d2-464b-bcc0-34536c08fa70,False,False,True,116.22012965211584,39.60423184682148,opponent,non-actor,keeper,No,10
6966,7250686d-dbef-4aca-a296-1f48215491f6,True,False,False,96.93286696572822,40.74739481382917,teammate,non-actor,player,No,10
6967,7250686d-dbef-4aca-a296-1f48215491f6,True,False,False,97.80257497557258,64.48664374660648,teammate,non-actor,player,No,10
6968,7250686d-dbef-4aca-a296-1f48215491f6,False,False,False,98.36808652756051,57.449409666330574,opponent,non-actor,player,No,10
6969,7250686d-dbef-4aca-a296-1f48215491f6,False,False,False,101.97553642805225,46.63983865220477,opponent,non-actor,player,No,10
6970,7250686d-dbef-4aca-a296-1f48215491f6,True,True,False,102.30000305175781,54.900001525878906,teammate,actor,player,No,30
6971,7250686d-dbef-4aca-a296-1f48215491f6,False,False,False,103.52558744650975,55.40173285792757,opponent,non-actor,player,No,10
6972,7250686d-dbef-4aca-a296-1f48215491f6,True,False,False,106.19153149604021,29.224993958984804,teammate,non-actor,player,No,10
6973,7250686d-dbef-4aca-a296-1f48215491f6,False,False,False,107.18650671649833,45.97899545174876,opponent,non-actor,player,No,10
