,id,goal
1517,938981c0-ec27-432f-ba67-4a5264750294,No
1896,a26bd1d8-8746-4de6-9972-226dbf037123,No
2688,96e67146-48f7-47c4-b956-c1a18bf4e2a1,No
2906,457f342e-94d9-414a-a12b-676b3bdc3793,No
2939,4f811f97-b991-4760-8be4-20e211d91f9a,No
1030,aea4566d-4fa8-491f-8364-a5889c6b5e5f,No
1037,ca16ce95-6f33-44cb-af0c-045a88a75f76,No
2349,cf7974ff-b9fc-4375-82f7-8e169f26d7c1,No
2366,47a2ff56-6886-4674-b8be-f546da5acf76,No
751,8d68c952-8b1f-4c52-b253-7e94128ed604,No
2167,1fae7ead-9780-438b-ad4c-068dba02049c,No
3235,0b63e5b3-65a3-412f-940c-82e785e614a5,No
1649,c083e176-9fea-4b08-aae7-27d32df2e1de,No
2559,3ece6827-76fa-4ae1-8c4c-ef4af1ae4c4e,No
501,2fca46ea-2d58-4d45-8cab-f4769e5cfea1,No
506,98fd30cc-48bc-4d4d-aea7-b547e13a0258,No
751,b794ff33-1dc3-469e-b771-581eb3f7a333,No
1247,9a6e4fc7-fd9d-443c-aeff-d143690d346d,No
2688,1bf61590-6810-459e-8593-e6218ee7feda,No
2890,491ee6e1-798f-4cf9-ab14-31009ce45cf3,Yes
300,d748885a-3e9a-4c02-99bb-cb68125027fc,No
1956,0c53b60f-3e5d-45f4-bf5d-8a9a81e088fe,No
2195,b4ec31ef-8300-457f-a3e1-77827140a8f8,No
255,3f0fc8e9-a09f-480a-9396-132e1ca05ec5,Yes
242,5e58cab7-75c2-47f8-903c-2874de6ed5b0,No
247,624a8c1d-b775-4a4f-85e8-a516aed3f3a5,No
2892,911822bd-a8de-484c-a50d-7e195234e02c,No
3735,6bb71b25-4cb6-4b85-ba5c-34421324df56,No
527,ad673438-78b6-4686-bd4f-ebe5d1404430,No
1736,505161df-bb03-47a5-a2de-89c70be11e6e,No
1994,9d960f6d-2c26-41d6-858b-5765f3922de4,No
3044,7455906a-e982-462e-9aa6-1e6e1fab3d78,No
816,9524281b-efcb-4bde-884f-8c98b842842a,No
170,0e01b04c-a2be-4bd2-a4f4-4d7afb94abfc,No
